"Metric","Bing","Van","Regina","Lapins","Schneiders"
"bloom_past_slope",-2.12,-2.21,-2.68,-2.43,-2.57
"bloom_1960_2020",-9,-9.5,-12,-11,-11.5
"bloom_2020_2050_SSP1",-3.05,-9.05,-7.68,-9.16,-8.53
"bloom_2020_2050_SSP2",-3.61,-10.66,-9.16,-11.37,-10.47
"bloom_2020_2050_SSP3",-3.61,-12.61,-10.43,-13.71,-12.54
"bloom_2020_2050_SSP5",-3.67,-13.28,-11.38,-14.42,-12.92
"bloom_2020_2085_SSP1",-3.03,-10.87,-9.16,-11.05,-10.34
"bloom_2020_2085_SSP2",-3.55,-14.89,-13,-16.29,-14.79
"bloom_2020_2085_SSP3",-1.82,-19.93,-17.32,-23.29,-20.82
"bloom_2020_2085_SSP5",2.53,-22.22,-20.03,-26.08,-23.58
"frost2.2_5Hplus_1960",4,3,3,1,3
"frost2.2_5Hplus_2020",14,5,6,13,15
"frost2.2_5Hplus_2050_SSP1",6.11,8.47,7.74,8.95,8
"frost2.2_5Hplus_2050_SSP2",6.74,7.95,6.42,8.89,7.74
"frost2.2_5Hplus_2050_SSP3",5.29,7,6.14,8.93,7.5
"frost2.2_5Hplus_2050_SSP5",5.7,6.55,5.8,8.1,7.55
"frost2.2_5Hplus_2085_SSP1",6.74,8,7.47,8.37,7.89
"frost2.2_5Hplus_2085_SSP2",4.89,6.68,5.58,8.79,8.32
"frost2.2_5Hplus_2085_SSP3",3.43,6.21,5.43,8.5,8.29
"frost2.2_5Hplus_2085_SSP5",4.65,5.3,4.8,6.2,5.8
